Name,CountDeclClass,CountDeclFile,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmtDecl,CountStmtExe,RatioCommentToCode,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
Directory Structure/mall-admin-sms/sms-server/src/main/java/com/mtcarpenter/mall/controller,11,11,51,809,85,679,45,244,169,"0,07",0,0,"0,00","0,00"
Directory Structure/mall-admin-sms/sms-server/src/main/java/com/mtcarpenter/mall/dao,4,4,4,66,11,27,28,23,0,"1,04",0,0,"0,00","0,00"
Directory Structure/mall-admin-sms/sms-server/src/main/java/com/mtcarpenter/mall/dto,3,3,0,62,9,41,12,26,0,"0,29",0,0,"0,00","0,00"
Directory Structure/mall-admin-sms/sms-server/src/main/java/com/mtcarpenter/mall/service,20,20,104,1153,150,752,251,367,248,"0,33",0,0,"0,00","0,00"
Directory Structure/mall-admin-sms/sms-server/src/main/java/com/mtcarpenter/mall/service/impl,10,10,53,761,79,634,48,267,248,"0,08",0,0,"0,00","0,00"
Directory Structure/mall-admin-ums/ums-mbg,152,77,3668,19321,4120,15171,31,4757,6683,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-ums/ums-server,41,41,234,2825,339,1996,490,916,577,"0,25",0,0,"0,00","0,00"
Directory Structure/mall-admin-ums/ums-mbg/src,152,77,3668,19321,4120,15171,31,4757,6683,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-ums/ums-mbg/src/main,152,77,3668,19321,4120,15171,31,4757,6683,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-ums/ums-mbg/src/main/java,152,77,3668,19321,4120,15171,31,4757,6683,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-ums/ums-mbg/src/main/java/com,152,77,3668,19321,4120,15171,31,4757,6683,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-ums/ums-mbg/src/main/java/com/mtcarpenter,152,77,3668,19321,4120,15171,31,4757,6683,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-ums/ums-mbg/src/main/java/com/mtcarpenter/mall,152,77,3668,19321,4120,15171,31,4757,6683,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-ums/ums-mbg/src/main/java/com/mtcarpenter/mall/mapper,25,25,275,750,300,450,0,425,0,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-ums/ums-mbg/src/main/java/com/mtcarpenter/mall/model,125,50,3388,18460,3809,14651,0,4294,6657,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-ums/ums-server/src,41,41,234,2825,339,1996,490,916,577,"0,25",0,0,"0,00","0,00"
Directory Structure/mall-admin-ums/ums-server/src/main,41,41,234,2825,339,1996,490,916,577,"0,25",0,0,"0,00","0,00"
Directory Structure/mall-admin-ums/ums-server/src/main/java,41,41,234,2825,339,1996,490,916,577,"0,25",0,0,"0,00","0,00"
Directory Structure/mall-admin-ums/ums-server/src/main/java/com,41,41,234,2825,339,1996,490,916,577,"0,25",0,0,"0,00","0,00"
