Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
Public Method,"(unnamed_object).deactivated",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).hasPermi",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).hasPermiAnd",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,5,0,5,,,0,,,1,0,1,1,,,0,,,,2
Unnamed Function,"(unnamed_object).hasPermiAnd.(unnamed_function_4)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).hasPermiOr",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,5,0,5,,,0,,,1,0,1,1,,,0,,,,2
Unnamed Function,"(unnamed_object).hasPermiOr.(unnamed_function_3)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).hasRole",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).hasRoleAnd",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,5,0,5,,,0,,,1,0,1,1,,,0,,,,2
Unnamed Function,"(unnamed_object).hasRoleAnd.(unnamed_function_6)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).hasRoleOr",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,5,0,5,,,0,,,1,0,1,1,,,0,,,,2
