Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
File,"GatewayApplicationTests.java",3,0,3,0,1,"0,00","0,00",0,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,5,12,10,0,0,,5,7,7,0,,1,,0,,,"0,00",1
Unknown Annotation,"GeneratedValue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
Unknown Annotation,"GetMapping",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
File,"GetResumeRate.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,2,0,0,0,,0,0,3,0,,0,0,0,0,,32,8,18,16,0,6,,8,10,10,0,,0,,0,,,"0,33",0
File,"GetResumeRate.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,2,0,0,0,,0,0,3,0,,0,0,0,0,,34,8,20,18,0,6,,10,12,12,0,,0,,0,,,"0,30",0
File,"HR.java",12,0,12,0,1,"0,00","0,00",0,0,,,,,1,0,0,1,,1,1,8,1,,0,0,0,1,,54,10,32,21,10,12,,24,26,17,10,,1,,0,,,"0,38",1
File,"HR.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,8,0,,0,0,0,0,,41,10,19,18,0,12,,13,14,14,0,,0,,0,,,"0,63",0
Unknown Annotation,"Id",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
File,"IdUtil.java",14,0,8,7,2,"0,00","0,00",0,0,,,,,1,2,0,2,,2,0,0,2,,0,0,0,2,,47,4,24,16,11,19,,18,21,16,11,,2,,0,,,"0,79",3
File,"IpHolder.java",3,0,3,0,1,"0,00","0,00",0,0,,,,,1,3,1,3,,3,0,0,3,,0,0,0,3,,25,6,13,6,4,6,,5,9,6,4,,1,,0,,,"0,46",3
File,"LoginInterceptor.java",10,0,9,2,2,"0,00","0,00",0,0,,,,,1,0,0,5,,5,5,2,5,,0,3,0,2,,98,10,74,43,26,14,,43,55,37,24,,5,,2,,,"0,19",11
File,"LoginRequired.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,16,2,9,8,0,5,,5,6,6,0,,0,,0,,,"0,56",0
File,"LoginVo.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,4,0,,0,0,0,0,,30,7,13,12,0,10,,8,9,9,0,,0,,0,,,"0,77",0
File,"MailService.java",23,1,17,5,2,"0,00","0,00",0,0,,,,,2,0,0,2,,2,2,4,2,,0,0,1,1,,80,12,52,29,26,16,,35,39,23,19,,2,,1,,,"0,31",3
File,"Message.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,5,0,,0,0,0,0,,36,8,16,15,1,12,,11,12,12,0,,0,,0,,,"0,75",0
File,"MessageApplication.java",3,0,3,0,1,"0,00","0,00",0,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,18,5,13,10,1,0,,6,8,7,1,,1,,0,,,"0,00",1
File,"MessageApplicationTests.java",3,0,3,0,1,"0,00","0,00",0,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,5,12,10,0,0,,5,7,7,0,,1,,0,,,"0,00",1
